title,runtime,audience_score,movie_score,tomatometer_count,user_rating_count,genre_Action,genre_Adventure,genre_Comedy,genre_Fantasy,genre_Horror,genre_Romance,genre_Sci-fi,genre_Special Interest,genre_Western,genre_FamilyKids,genre_AnimationManga,genre_FitnessSports,genre_DramaTele,genre_MusicalPerfarts,genre_ClassicsCult,genre_ArthouseInter,genre_ThrillMysSusp,genre_HistDocument,G,NC17,NR,PG,PG-13,R,ss_mean,ss_median,ss_p25,ss_p75,ss_std,ss_count,domestic_gross,domestic_opening,foreign_gross,markets,total_gross,markets_missing,audience_score_positive,movie_score_positive
Moments of Clarity,97.0,62.0,40,5,40.0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.8,1.0,1.0,1.0,0.4472135954999579,5.0,,,,,,,True,False
Multiple Maniacs,90.0,73.0,100,20,1327.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8,1.0,1.0,1.0,0.4103913408340617,20.0,33036.0,9814.0,5367.0,,38403.0,1.0,True,True
Assassin's Creed,116.0,43.0,18,216,57211.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.4953703703703704,0.0,0.0,1.0,0.5011399580322907,216.0,54647948.0,10278225.0,186049908.0,72.0,240697856.0,0.0,False,False
Brothers Hypnotic,84.0,60.0,100,6,58.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.8333333333333334,1.0,1.0,1.0,0.40824829046386296,6.0,,,,,,,True,True
Fantastic Beasts and Where to Find Them,132.0,79.0,74,325,87497.0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8061538461538461,1.0,1.0,1.0,0.3959193563746748,325.0,234037575.0,74403387.0,580000000.0,42.0,814037575.0,0.0,True,True
Live By Night,128.0,42.0,35,228,13277.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5482456140350878,1.0,0.0,1.0,0.4987618954920029,228.0,10378555.0,33336.0,12300000.0,40.0,22678555.0,0.0,False,False
A Monster Calls,108.0,81.0,86,256,25175.0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.85546875,1.0,1.0,1.0,0.3523163893935311,256.0,3740823.0,30909.0,43568490.0,59.0,47309313.0,0.0,True,True
The Creeping Garden,81.0,60.0,95,20,271.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.85,1.0,1.0,1.0,0.3663475485325233,20.0,,,,,,,True,True
A Tale of Love and Darkness,95.0,49.0,70,64,2467.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.828125,1.0,1.0,1.0,0.38025419651629616,64.0,572212.0,37170.0,152673.0,6.0,724885.0,0.0,False,True
Uncertain,81.0,82.0,100,22,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.8181818181818182,1.0,1.0,1.0,0.3947710169758614,22.0,29736.0,0.0,0.0,,29736.0,1.0,True,True
Evolution,81.0,45.0,82,62,2480.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.7741935483870968,1.0,1.0,1.0,0.4215255214142982,62.0,38345494.0,13408351.0,60030798.0,9.0,98376292.0,0.0,False,True
